id,subarea,objective,question,answer,explanation,difficulty,tags
F713,Meaning & Communication,Word Relationships - Cognates,What is a false cognate?,A word that looks similar in two languages but has different meanings,"Example: Embarrassed (English) vs. embarazada (Spanish), which means pregnant.",2,"{""cognates"",""false cognates"",""word relationships""}"
F714,Meaning & Communication,Language Evolution and Archaic Words,What is an archaic English word?,A word once common in English but no longer in everyday use,"Examples include thee, thou, and wherefore.",2,"{""archaic words"",""language history"",""vocabulary""}"
F715,Meaning & Communication,Language Evolution and Phonetic Spelling,What is a phonetic spelling of a word?,A spelling that reflects pronunciation rather than traditional form,Examples: writing nite for night or thru for through.,2,"{""phonetic spelling"",""language evolution"",""spelling""}"
F716,Meaning & Communication,Language Evolution and New Words,What types of new words are most likely to join Standard American English?,Useful blends or compounds that fill communication needs,"Examples: brunch, smog, and podcast.",2,"{""neologisms"",""language evolution"",""compound words""}"
F717,Literature & Understanding,Cultural and Social Contexts,What is a microculture?,"A small group within a larger society that shares common values, behaviors, or language patterns",Example: bilingual students within a dominant culture.,2,"{""microculture"",""social groups"",""cultural context""}"
F718,Literature & Understanding,Cultural and Social Contexts,What is an ethnic group?,"A group of people connected by shared ancestry, history, or cultural heritage",Ethnic groups maintain distinct cultural identities and traditions.,2,"{""ethnic group"",""cultural heritage"",""identity""}"
F719,Literature & Understanding,Cultural and Social Contexts,What is a speech community?,Individuals who share a common language and rules for its use within a broader society,Members of a speech community follow shared linguistic norms and communication patterns.,2,"{""speech community"",""language use"",""sociolinguistics""}"
F720,Literature & Understanding,Cultural and Social Contexts,What is an acculturated group?,A group that adopts traits from a dominant culture while maintaining aspects of its own identity,Acculturation involves cultural adaptation without complete assimilation.,2,"{""acculturation"",""cultural adaptation"",""identity""}"
F721,Skills & Processes,Identifying Learning Goals,What makes a learning goal effective for theme analysis?,It should focus on how authors convey and develop thematic ideas across texts,"Effective learning goals for theme analysis require students to identify, analyze, and compare how themes are developed through author's choices.",3,"{""learning goals"",""theme"",""standards""}"
F722,Skills & Processes,Diagnosing Misconceptions,What is the most common student misconception about theme?,Confusing plot details or topics with thematic inference,Students often state plot events (what happens) rather than the underlying message or universal truth the text conveys.,2,"{""misconceptions"",""theme"",""assessment""}"
F723,Skills & Processes,Argument Evaluation,What three criteria should students use to evaluate argument evidence?,"Strength, relevance, and sufficiency of evidence","Effective argument evaluation requires assessing whether evidence is strong (credible), relevant (related to the claim), and sufficient (adequate amount).",3,"{""argument"",""evaluation"",""evidence""}"
F724,Skills & Processes,Supporting English Learners,What is the most effective scaffold for teaching figurative language to ELLs?,Visual anchors that represent metaphors and similes concretely,"Visual representations make abstract figurative meanings concrete and accessible, bridging language barriers.",2,"{""ELL"",""scaffolding"",""figurative language""}"
F725,Skills & Processes,Comprehension Strategies,What are comprehension-monitoring strategies?,Metacognitive techniques like self-questioning and think-alouds that help readers track understanding,These strategies help students become aware of their comprehension and take action when meaning breaks down.,3,"{""comprehension"",""metacognition"",""strategies""}"
F726,Skills & Processes,Text Structure,What signal words indicate cause-and-effect relationships?,"Therefore, as a result, consequently, because, due to, leads to",These transitional phrases explicitly signal causal relationships between ideas in informational texts.,2,"{""text structure"",""cause-effect"",""signal words""}"
F727,Skills & Processes,Writing Instruction,Why is analyzing exemplar texts effective for teaching argumentative writing?,It helps students see models of logical progression and evidence-based reasoning in practice,"Exemplars provide concrete models of effective argument structure, helping students internalize quality standards.",3,"{""writing"",""argument"",""exemplars""}"
F728,Skills & Processes,Formative Assessment,What defines effective formative assessment?,Assessment that informs immediate instructional adjustments based on student understanding,"Formative assessment is ongoing, provides real-time feedback, and directly shapes next instructional steps.",2,"{""formative assessment"",""instruction"",""feedback""}"
F729,Skills & Processes,Differentiated Instruction,How can teachers provide equitable access to complex texts for diverse readers?,Provide audio support or read-alouds while maintaining the shared text,Audio support scaffolds comprehension without segregating students or reducing text complexity.,3,"{""differentiation"",""access"",""scaffolding""}"
F730,Skills & Processes,Discussion Strategies,What are discussion stems and why are they effective?,Sentence starters that guide students toward analysis and evaluation in discussions,Discussion stems like 'The evidence suggests...' or 'This contrasts with...' scaffold higher-order thinking.,2,"{""discussion"",""stems"",""scaffolding""}"
F731,Skills & Processes,Point of View,What strategy best teaches how point of view shapes meaning?,Having students rewrite a scene from a different character's perspective,Rewriting from another viewpoint makes students directly experience how perspective influences interpretation.,2,"{""point of view"",""perspective"",""writing""}"
F732,Skills & Processes,Vocabulary Instruction,What builds the most durable vocabulary knowledge?,Embedding new vocabulary in authentic writing and discussion tasks,Active use in meaningful contexts creates deeper word knowledge than memorization alone.,3,"{""vocabulary"",""authentic application"",""retention""}"
F733,Skills & Processes,Scaffolding,What is the purpose of guiding questions for complex texts?,To scaffold comprehension while maintaining text integrity and complexity,Guiding questions break down comprehension demands without removing challenging content.,2,"{""scaffolding"",""guiding questions"",""complex texts""}"
F734,Skills & Processes,Writing Feedback,What makes feedback actionable for student writers?,Specific identification of location and concrete steps for improvement,"Effective feedback is precise, targeted, and provides clear guidance rather than general comments.",2,"{""feedback"",""writing"",""revision""}"
F735,Skills & Processes,Assessment Alignment,Why must learning goals align with assessments?,To ensure assessments measure what was actually taught and intended to be learned,Alignment ensures validity—that assessments accurately measure the targeted learning outcomes.,3,"{""alignment"",""assessment"",""validity""}"
F736,Skills & Processes,Bias Analysis,How do students identify bias in persuasive texts?,By evaluating how emotionally charged language influences the reader,Biased language uses emotional appeals and loaded words to sway readers beyond logical reasoning.,3,"{""bias"",""persuasion"",""critical reading""}"
F737,Skills & Processes,Writing Organization,What tool best supports students struggling with paragraph organization?,Graphic organizers that visually model logical sequencing,Visual organizers make abstract organizational structures concrete and help students plan coherent writing.,2,"{""organization"",""graphic organizers"",""writing support""}"
F738,Skills & Processes,Theme Analysis,How should students analyze theme development?,Track how a central idea evolves across key interactions and conflicts,"Effective theme analysis examines how themes are introduced, developed, and refined throughout a text.",3,"{""theme"",""analysis"",""close reading""}"
F739,Skills & Processes,Logical Reasoning,What is the difference between sound and flawed reasoning?,Sound reasoning uses valid logic and sufficient evidence; flawed reasoning contains logical fallacies or weak support,"Evaluating argument validity requires identifying logical fallacies like false cause, hasty generalization, or ad hominem.",3,"{""logical reasoning"",""fallacies"",""argument""}"
F740,Skills & Processes,Text Selection,What should drive complex text selection for instruction?,Alignment between the text's complexity features and the instructional purpose,"Text selection should match specific learning goals, considering both quantitative and qualitative complexity measures.",3,"{""text selection"",""complexity"",""instructional design""}"
